Mid-point,Uncertainty,Time System,Source,#
2458684.926527406,0.00024038724846925431,BJD_TDB,TESS,1
2458686.4064941965,0.0002095489778157553,BJD_TDB,TESS,1
2458687.887735903,0.00036575288252446833,BJD_TDB,TESS,1
2458689.369997867,0.00025473864089229167,BJD_TDB,TESS,1
2458695.2937493073,0.000260273141158999,BJD_TDB,TESS,1
2458698.256216127,0.00024080948333715785,BJD_TDB,TESS,1
2458699.7377011664,0.00019240154426159196,BJD_TDB,TESS,1
2458701.217712783,0.00019217772511285144,BJD_TDB,TESS,1
2458702.7000052934,0.0003895172615390098,BJD_TDB,TESS,1
2458704.180884544,0.00021236696360061254,BJD_TDB,TESS,1
2458708.623984709,0.00025100916428132716,BJD_TDB,TESS,1
