Mid-point,Uncertainty,Time System,Source,#
2458871.723576183,0.001147267924401905,BJD_TDB,TESS,1
2458873.4301426276,0.0011607361380229293,BJD_TDB,TESS,1
2458875.1377541944,0.0010671704615284622,BJD_TDB,TESS,1
2458876.843044852,0.0010263455671710316,BJD_TDB,TESS,1
2458878.547753641,0.001145202746289314,BJD_TDB,TESS,1
2458880.256045658,0.0011625047368061352,BJD_TDB,TESS,1
2458881.962367231,0.0010610254301066542,BJD_TDB,TESS,1
2458883.6693344004,0.0010459379364491205,BJD_TDB,TESS,1
2458887.082997128,0.0014310197898534948,BJD_TDB,TESS,1
2458888.78928582,0.0011412265094026424,BJD_TDB,TESS,1
2458890.492627083,0.0009260528987946791,BJD_TDB,TESS,1
2458892.200000375,0.0009330362028700861,BJD_TDB,TESS,1
2458893.907423506,0.0011248287098217537,BJD_TDB,TESS,1
2458895.611401974,0.001078726393743813,BJD_TDB,TESS,1
2458897.317756507,0.0011136072179615752,BJD_TDB,TESS,1
