Mid-point,Uncertainty,Time System,Source,#
2459089.9308229717,0.0005071590663377457,BJD_TDB,TESS,1
2459091.557816669,0.0005333180618324078,BJD_TDB,TESS,1
2459093.187104631,0.0005581730217162788,BJD_TDB,TESS,1
2459094.815916402,0.0005021467715114276,BJD_TDB,TESS,1
2459096.4435594515,0.0005888590416952444,BJD_TDB,TESS,1
2459098.072434269,0.0005448559626619881,BJD_TDB,TESS,1
2459102.9570734138,0.0005131341507524128,BJD_TDB,TESS,1
2459104.5857720147,0.000615473235040221,BJD_TDB,TESS,1
2459106.2139764847,0.0005366290123910841,BJD_TDB,TESS,1
2459107.8429355123,0.0005840346191073215,BJD_TDB,TESS,1
2459109.471108569,0.0005827221717236778,BJD_TDB,TESS,1
2459111.0994114066,0.0005962504127481647,BJD_TDB,TESS,1
