Mid-point,Uncertainty,Time System,Source,#
2459392.505006523,0.0005330184559031901,BJD_TDB,TESS,1
2459395.3692243546,0.0005504724545767354,BJD_TDB,TESS,1
2459398.234698296,0.0005057080292560772,BJD_TDB,TESS,1
2459401.09695856,0.0005462218212659988,BJD_TDB,TESS,1
2459403.961678475,0.0004934448055961851,BJD_TDB,TESS,1
2459406.8260329915,0.0005099937555615012,BJD_TDB,TESS,1
2459409.688885597,0.00046697189508216523,BJD_TDB,TESS,1
2459412.5548727307,0.0005084810782762938,BJD_TDB,TESS,1
2459415.4184117336,0.0005166980396440044,BJD_TDB,TESS,1
2459418.2814993276,0.00046171444579174646,BJD_TDB,TESS,1
