Mid-point,Uncertainty,Time System,Source,#
2459422.0941376872,7.215290040311586e-05,BJD_TDB,TESS,1
2459424.312858519,0.000456180690926888,BJD_TDB,TESS,1
2459426.5313546103,9.213641669568734e-05,BJD_TDB,TESS,1
2459428.7499263277,6.90102479140068e-05,BJD_TDB,TESS,1
2459430.9685859974,0.00018391710645373417,BJD_TDB,TESS,1
2459435.4055236257,5.992936096037326e-05,BJD_TDB,TESS,1
2459437.6242099674,0.0002115409678133204,BJD_TDB,TESS,1
2459439.8429297726,4.540603152318219e-05,BJD_TDB,TESS,1
2459442.0613488606,4.127293027947713e-05,BJD_TDB,TESS,1
2459444.2799414694,8.85255703577813e-05,BJD_TDB,TESS,1
