Mid-point,Uncertainty,Time System,Source,#
2458957.042600688,0.000759356065903873,BJD_TDB,TESS,1
2458958.6889227517,0.0007425500204993641,BJD_TDB,TESS,1
2458960.334440693,0.0007257368403593619,BJD_TDB,TESS,1
2458961.980430517,0.0006991429176156608,BJD_TDB,TESS,1
2458963.6243285267,0.0007410589897225832,BJD_TDB,TESS,1
2458965.2687688204,0.0007739014286059392,BJD_TDB,TESS,1
2458966.9136828533,0.0008923485141102436,BJD_TDB,TESS,1
2458970.2055074787,0.0007936337559103473,BJD_TDB,TESS,1
2458971.8515859526,0.000878244485840371,BJD_TDB,TESS,1
2458973.49426653,0.0007838663264488359,BJD_TDB,TESS,1
2458975.142710754,0.0007902468064062249,BJD_TDB,TESS,1
2458976.786723896,0.0007426807662385963,BJD_TDB,TESS,1
2458978.4318592064,0.0007706360106702738,BJD_TDB,TESS,1
2458980.077264276,0.0009043995442808421,BJD_TDB,TESS,1
2458981.723724226,0.0008815048426805488,BJD_TDB,TESS,1
