Mid-point,Uncertainty,Time System,Source,#
2459420.119171214,0.0008408312309132462,BJD_TDB,TESS,1
2459421.6034903307,0.0012467883957938243,BJD_TDB,TESS,1
2459423.0842835587,0.0010987261924729004,BJD_TDB,TESS,1
2459424.5676162443,0.0016231787720987633,BJD_TDB,TESS,1
2459426.0502910935,0.0011791742701692466,BJD_TDB,TESS,1
2459427.530331469,0.0011236103009679497,BJD_TDB,TESS,1
2459429.012873912,0.0015428011020770693,BJD_TDB,TESS,1
2459430.493783137,0.0009174069275779351,BJD_TDB,TESS,1
2459431.978124733,0.0010064888138118732,BJD_TDB,TESS,1
2459434.9422928584,0.0010488325266880256,BJD_TDB,TESS,1
2459436.4247797886,0.001063315254366041,BJD_TDB,TESS,1
2459437.909518278,0.0011038077287278077,BJD_TDB,TESS,1
2459439.388951343,0.0011989990718765816,BJD_TDB,TESS,1
2459440.871957998,0.0010222122523137656,BJD_TDB,TESS,1
2459442.352912012,0.0010993518644688727,BJD_TDB,TESS,1
2459443.8353471668,0.001134447919211451,BJD_TDB,TESS,1
2459445.319644126,0.0010557386135817536,BJD_TDB,TESS,1
